!=<font face=/font/mu/middle.font>!</font>
#=<font face=/font/mu/middle.font>#</font>
$=<font face=/font/mu/middle.font>$</font>
%=<font face=/font/mu/middle.font>%</font>
&=<font face=/font/mu/middle.font>&</font>
'=<font face=/font/mu/middle.font>'</font>
(=<font face=/font/mu/middle.font>(</font>
)=<font face=/font/mu/middle.font>)</font>
+=<font face=/font/mu/middle.font>+</font>
,=<font face=/font/mu/middle.font>,</font>
-=<font face=/font/mu/middle.font>-</font>
0=<font face=/font/mu/middle.font>0</font>
1=<font face=/font/mu/middle.font>1</font>
2=<font face=/font/mu/middle.font>2</font>
3=<font face=/font/mu/middle.font>3</font>
4=<font face=/font/mu/middle.font>4</font>
5=<font face=/font/mu/middle.font>5</font>
6=<font face=/font/mu/middle.font>6</font>
7=<font face=/font/mu/middle.font>7</font>
8=<font face=/font/mu/middle.font>8</font>
9=<font face=/font/mu/middle.font>9</font>
;=<font face=/font/mu/middle.font>;</font>
==<font face=/font/mu/middle.font>=</font>
@=<font face=/font/mu/middle.font>@</font>
A=<font face=/font/mu/middle.font>A</font>
B=<font face=/font/mu/middle.font>B</font>
C=<font face=/font/mu/middle.font>C</font>
D=<font face=/font/mu/middle.font>D</font>
E=<font face=/font/mu/middle.font>E</font>
F=<font face=/font/mu/middle.font>F</font>
G=<font face=/font/mu/middle.font>G</font>
H=<font face=/font/mu/middle.font>H</font>
I=<font face=/font/mu/middle.font>I</font>
J=<font face=/font/mu/middle.font>J</font>
K=<font face=/font/mu/middle.font>K</font>
L=<font face=/font/mu/middle.font>L</font>
M=<font face=/font/mu/middle.font>M</font>
N=<font face=/font/mu/middle.font>N</font>
O=<font face=/font/mu/middle.font>O</font>
P=<font face=/font/mu/middle.font>P</font>
Q=<font face=/font/mu/middle.font>Q</font>
R=<font face=/font/mu/middle.font>R</font>
S=<font face=/font/mu/middle.font>S</font>
T=<font face=/font/mu/middle.font>T</font>
U=<font face=/font/mu/middle.font>U</font>
V=<font face=/font/mu/middle.font>V</font>
W=<font face=/font/mu/middle.font>W</font>
X=<font face=/font/mu/middle.font>X</font>
Y=<font face=/font/mu/middle.font>Y</font>
Z=<font face=/font/mu/middle.font>Z</font>
a=<font face=/font/mu/middle.font>a</font>
b=<font face=/font/mu/middle.font>b</font>
c=<font face=/font/mu/middle.font>c</font>
d=<font face=/font/mu/middle.font>d</font>
e=<font face=/font/mu/middle.font>e</font>
f=<font face=/font/mu/middle.font>f</font>
g=<font face=/font/mu/middle.font>g</font>
h=<font face=/font/mu/middle.font>h</font>
i=<font face=/font/mu/middle.font>i</font>
j=<font face=/font/mu/middle.font>j</font>
k=<font face=/font/mu/middle.font>k</font>
l=<font face=/font/mu/middle.font>l</font>
m=<font face=/font/mu/middle.font>m</font>
n=<font face=/font/mu/middle.font>n</font>
o=<font face=/font/mu/middle.font>o</font>
p=<font face=/font/mu/middle.font>p</font>
q=<font face=/font/mu/middle.font>q</font>
r=<font face=/font/mu/middle.font>r</font>
s=<font face=/font/mu/middle.font>s</font>
t=<font face=/font/mu/middle.font>t</font>
u=<font face=/font/mu/middle.font>u</font>
v=<font face=/font/mu/middle.font>v</font>
w=<font face=/font/mu/middle.font>w</font>
x=<font face=/font/mu/middle.font>x</font>
y=<font face=/font/mu/middle.font>y</font>
z=<font face=/font/mu/middle.font>z</font>
[=<font face=/font/mu/middle.font>[</font>
]=<font face=/font/mu/middle.font>]</font>
^=<font face=/font/mu/middle.font>^</font>
_=<font face=/font/mu/middle.font>_</font>
`=<font face=/font/mu/middle.font>`</font>
{=<font face=/font/mu/middle.font>{</font>
}=}
~=~
·=<font face=/font/mu/plus.font> </font>
‘=<font face=/font/mu/middle.font>'</font>
€=<font face=/font/mu/middle.font>€</font>
。=<font face=/font/mu/middle.font>.</font>
！=<font face=/font/mu/middle.font>!</font>
（=<font face=/font/mu/middle.font>(</font>
）=<font face=/font/mu/middle.font>)</font>
，=<font face=/font/mu/middle.font>,</font>
；=<font face=/font/mu/middle.font>;</font>
一=<font face=/font/mu/61.font>P</font>
丁=<font face=/font/mu/11.font>H</font>
七=<font face=/font/mu/41.font>0</font>
万=<font face=/font/mu/53.font>Y</font>
丈=<font face=/font/mu/67.font>:</font>
三=<font face=/font/mu/45.font>6</font>
上=<font face=/font/mu/46.font>1</font>
下=<font face=/font/mu/56.font>F</font>
丌=<font face=/font/mu/71.font>T</font>
不=<font face=/font/mu/5.font>(</font>
与=<font face=/font/mu/64.font>?</font>
丐=<font face=/font/mu/71.font>V</font>
丑=<font face=/font/mu/7.font>T</font>
专=<font face=/font/mu/70.font>6</font>
且=<font face=/font/mu/42.font>L</font>
丕=<font face=/font/mu/71.font>Y</font>
世=<font face=/font/mu/47.font>K</font>
丘=<font face=/font/mu/43.font>5</font>
丙=<font face=/font/mu/4.font>?</font>
业=<font face=/font/mu/61.font>J</font>
丛=<font face=/font/mu/9.font>)</font>
东=<font face=/font/mu/11.font>R</font>
丝=<font face=/font/mu/49.font>></font>
丞=<font face=/font/mu/72.font>&</font>
丢=<font face=/font/mu/11.font>Q</font>
两=<font face=/font/mu/31.font>J</font>
严=<font face=/font/mu/60.font>;</font>
丧=<font face=/font/mu/45.font><</font>
丨=<font face=/font/mu/72.font>*</font>
